"","country","year","start","exports","schooling","growth","peace","concentration","lnpop","fractionalization","dominance"
"492","Iceland",1975,0,0.219999998807907,85,5.01300001144409,352,0.935000002384186,12.2922496795654,36,0
"493","Iceland",1980,0,0.261000007390976,86,5.69299983978271,412,0.935000002384186,12.3371000289917,42,0
"494","Iceland",1985,0,0.254000008106232,95,1.08200001716614,472,0.935000002384186,12.3925504684448,42,0
"495","Iceland",1990,0,0.238000005483627,103,1.80499994754791,532,0.935000002384186,12.4482297897339,42,0
"496","Iceland",1995,0,0.228000000119209,104,-0.512000024318695,592,0.935000002384186,12.498740196228,42,0
"497","India",1960,0,0.0160000007599592,30,NA,132,0.537000000476837,19.890510559082,2848,0
"498","India",1965,1,0.0160000007599592,41,-0.395999997854233,192,0.537000000476837,20.0044403076172,2848,0
"499","India",1970,0,0.017000000923872,36,1.31400001049042,52,0.537000000476837,20.121000289917,2848,0
"500","India",1975,0,0.0260000005364418,36,0.321999996900558,112,0.537000000476837,20.234619140625,2937,0
"501","India",1980,1,0.0179999992251396,39,1.58000004291534,172,0.537000000476837,20.3483295440674,2937,0
"502","India",1985,NA,0.017000000923872,48,3.48699998855591,NA,0.537000000476837,20.4555797576904,2937,0
"503","India",1990,NA,0.017000000923872,55,3.71000003814697,NA,0.537000000476837,20.5601806640625,2937,0
"504","India",1995,0,0.0240000002086163,59,3.05999994277954,6,0.537999987602234,20.6500091552734,2937,0
"505","Indonesia",1960,NA,0.10700000077486,10,NA,NA,0.779999971389771,18.3587608337402,5092,0
"506","Indonesia",1965,0,0.10700000077486,18,-0.962999999523163,48,0.779999971389771,18.4657592773438,5092,0
"507","Indonesia",1970,0,0.108000002801418,21,3.24200010299683,108,0.779999971389771,18.5822601318359,5092,0
"508","Indonesia",1975,1,0.218999996781349,25,5.74700021743774,168,0.779999971389771,18.7027606964111,5092,0
"509","Indonesia",1980,NA,0.273999989032745,35,5.91599988937378,NA,0.779999971389771,18.814769744873,5168,0
"510","Indonesia",1985,0,0.185000002384186,41,5.07499980926514,27,0.779999971389771,18.9094791412354,5168,0
"511","Indonesia",1990,0,0.155000001192093,48,3.57399988174438,87,0.779999971389771,18.9986000061035,5168,0
"512","Indonesia",1995,0,0.111000001430511,52,4.63600015640259,147,0.776000022888184,19.0832405090332,5168,0
"513","Iran",1960,0,0.476000010967255,16,NA,172,0.492000013589859,16.8860702514648,380,0
"514","Iran",1965,0,0.476000010967255,24,2.65400004386902,232,0.492000013589859,17.0207290649414,380,0
"515","Iran",1970,1,0.476000010967255,36,7.09299993515015,292,0.492000013589859,17.1629199981689,380,0
"516","Iran",1975,1,0.400999993085861,57,3.91199994087219,1,0.492000013589859,17.3182392120361,380,0
"517","Iran",1980,1,0.138999998569489,52,-10.5930004119873,1,0.492000013589859,17.482250213623,380,0
"518","Iran",1985,0,0.0719999969005585,52,3.26500010490417,61,0.492000013589859,17.652250289917,380,0
